mode,target,model,R2,MAE,RMSE,best_params
single,gt_c_decay,RF,0.9959302681295616,0.0005259117564925178,0.0009366464538329129,
single,gt_c_decay,GBR,0.985494777559706,0.0013309026278501986,0.0017682961086378914,
single,gt_c_decay,XGB,0.9952730936742614,0.0007351512854340968,0.001009441818765307,
single,gt_t_decay,RF,0.9913805266803384,0.0003519501070465145,0.0006993180578727368,
single,gt_t_decay,GBR,0.9618349383947888,0.0010290561841810942,0.0014715240411231987,
single,gt_t_decay,XGB,0.9891220610807258,0.0005307148257236658,0.0007856112353991677,
multi,gt_c_decay,RF,0.9959302681295616,0.0005259117564925187,0.0009366464538329123,
multi,gt_t_decay,RF,0.9913805266803384,0.0003519501070465135,0.0006993180578727386,
multi,gt_c_decay,GBR,0.985494777559706,0.0013309026278501986,0.0017682961086378914,
multi,gt_t_decay,GBR,0.9618349383947888,0.0010290561841810942,0.0014715240411231987,
multi,gt_c_decay,XGB,0.9952730936742614,0.0007351512854340968,0.001009441818765307,
multi,gt_t_decay,XGB,0.9891220610807258,0.0005307148257236658,0.0007856112353991677,
