preprocessing,model,target,r2,mae,rmse
standard,RF,gt_c_decay,0.9952961486620697,0.0005548040584565587,0.001006977086641078
standard,RF,gt_t_decay,0.9911785484805774,0.0003551051847715696,0.0007074640953304662
standard,ExtraTrees,gt_c_decay,0.9980573584007199,0.00035185329982306753,0.0006471264287027973
standard,ExtraTrees,gt_t_decay,0.9953727875074169,0.0002275332774832142,0.0005123822775759493
standard,GBR,gt_c_decay,0.9923662322496261,0.0009476569424812638,0.0012828097911090324
standard,GBR,gt_t_decay,0.9859066486125944,0.0006366153324485572,0.0008942141092855839
standard,XGB,gt_c_decay,0.9951475441947889,0.0007448792986216029,0.001022759657239967
standard,XGB,gt_t_decay,0.9888261418625838,0.000531468348142257,0.0007962252659639909
robust,RF,gt_c_decay,0.9953063263045088,0.0005539216233825696,0.0010058871072061966
robust,RF,gt_t_decay,0.9911823040173158,0.00035479940426331644,0.0007073134857490818
robust,ExtraTrees,gt_c_decay,0.9980611530197089,0.0003508721958483771,0.0006464940942165402
robust,ExtraTrees,gt_t_decay,0.9953563976376051,0.0002269403332404342,0.0005132889201310188
robust,GBR,gt_c_decay,0.9924401266148328,0.000944754361671964,0.001276585936034666
robust,GBR,gt_t_decay,0.985584120646876,0.000643513343184684,0.0009043883253501731
robust,XGB,gt_c_decay,0.9950823004142305,0.000751400323195087,0.001029612465814961
robust,XGB,gt_t_decay,0.9894165214554951,0.0005266940370680608,0.0007749052348918632
minmax,RF,gt_c_decay,0.995312640688771,0.0005539779391230366,0.0010052102711336228
minmax,RF,gt_t_decay,0.9911873118189004,0.00035489528064794876,0.0007071126062531517
minmax,ExtraTrees,gt_c_decay,0.9980544166024979,0.0003514590896397018,0.000647616224455751
minmax,ExtraTrees,gt_t_decay,0.9953270355508458,0.00022795634366579905,0.0005149091583993053
minmax,GBR,gt_c_decay,0.9922870384323181,0.0009471094954365774,0.0012894466502925293
minmax,GBR,gt_t_decay,0.9861129563378848,0.0006327536820137649,0.0008876449332307661
minmax,XGB,gt_c_decay,0.9950772725977258,0.0007508165256433141,0.0010301386651059158
minmax,XGB,gt_t_decay,0.9893208164797757,0.0005278608079264208,0.0007784010316794597
power,RF,gt_c_decay,0.9951560296821181,0.000560797263334148,0.0010218650162732035
power,RF,gt_t_decay,0.9911684310364689,0.00035502187470908117,0.0007078696792232818
power,ExtraTrees,gt_c_decay,0.9980454013750488,0.0003476705761890919,0.0006491149162760507
power,ExtraTrees,gt_t_decay,0.9953350778268805,0.0002288024760310666,0.0005144658825226321
power,GBR,gt_c_decay,0.9924254264486032,0.0009396623919333641,0.0012778264932993026
power,GBR,gt_t_decay,0.9860781312018657,0.0006279458521177368,0.0008887572289968656
power,XGB,gt_c_decay,0.9950705755401179,0.0007477259561357081,0.00103083914602203
power,XGB,gt_t_decay,0.9897660896280169,0.0005235323971192031,0.0007620003704930534
quantile,RF,gt_c_decay,0.9952642162042045,0.0005555668807594517,0.0010103892762949086
quantile,RF,gt_t_decay,0.9911594879965333,0.0003553360327655566,0.0007082279906991401
quantile,ExtraTrees,gt_c_decay,0.9976655386952521,0.0003695322535604252,0.0007093917515752011
quantile,ExtraTrees,gt_t_decay,0.9950174343373355,0.00023426463743844746,0.0005316929395957728
quantile,GBR,gt_c_decay,0.9923429409700536,0.0009515309058316031,0.0012847652819532288
quantile,GBR,gt_t_decay,0.9853534076308255,0.0006438844664483902,0.0009115965551593958
quantile,XGB,gt_c_decay,0.9951780927818399,0.0007505223073962029,0.0010195351877206145
quantile,XGB,gt_t_decay,0.9892273174304604,0.0005324207006037428,0.000781801158122757
